tokenId,L01,L02,L03,L04,L05,L06,L07,domain,color,replceable,replaced,,
1,17,17,17,17,17,17,17,0,1,2,,,
2,21,21,21,21,21,21,21,0,5,3,,,
3,23,23,23,23,23,23,23,1,4,2,,,
4,5,5,5,5,5,5,5,1,3,2,,,Gen1
5,1,1,1,1,1,1,1,2,4,1,,,
6,13,13,13,13,13,13,13,2,6,0,,,
7,2,2,2,2,2,2,2,3,1,3,,,
8,4,4,4,4,4,4,4,3,4,4,,,
9,17,21,21,21,21,17,21,0,5,4,,,
10,21,21,17,17,17,17,17,0,9,2,,,
11,21,21,17,17,21,17,21,0,0,3,,,
12,21,15,15,21,21,21,15,0,4,2,,,
13,15,15,17,17,15,15,15,0,7,3,,,
14,15,17,17,17,17,17,15,0,1,2,,,
15,23,22,23,23,23,23,23,1,7,3,,,
16,22,22,22,23,22,23,22,1,4,4,,,
17,23,23,5,23,23,5,23,1,9,1,,,
18,5,22,5,22,22,22,22,1,4,3,,,
19,22,22,22,5,22,22,22,1,2,3,,,
20,22,23,22,22,22,22,22,1,1,3,,,
21,1,1,1,3,3,1,3,2,2,1,,,Gen 2
22,1,3,1,3,1,3,1,2,3,1,,,
23,3,13,13,3,3,13,13,2,4,0,,,
24,1,13,13,1,1,1,13,2,1,1,,,
25,13,13,1,1,13,13,13,2,7,0,,,
26,1,3,1,1,3,1,3,2,5,1,,,
27,4,2,2,4,2,2,2,3,2,2,,,
28,2,2,4,4,4,4,4,3,0,4,,,
29,20,4,4,4,20,20,4,3,1,4,,,
30,2,4,2,4,2,2,2,3,0,3,,,
31,20,20,4,4,4,20,4,3,2,4,,,
32,2,2,2,4,2,2,4,3,6,2,,,
33,19,21,15,21,19,21,21,0,7,3,,,
34,15,18,18,18,18,15,19,0,1,2,,,
35,15,15,15,17,9,15,15,0,4,2,,,
36,18,15,18,18,15,9,18,0,1,1,,,
37,18,9,18,9,19,9,9,0,4,1,,,
38,18,19,15,18,19,18,19,0,1,2,,,
39,9,9,15,17,17,15,15,0,2,1,,,
40,15,21,17,17,17,17,15,0,1,3,,,
